date,QQQ,SPY,XRT
2026-05-11,713.2899780273438,739.2999877929688,81.66000366210938
2026-05-12,707.239990234375,738.1799926757812,80.69999694824219
2026-05-13,714.7100219726562,742.3099975585938,79.75
2026-05-14,719.7899780273438,748.1699829101562,80.37999725341797
2026-05-15,708.9299926757812,739.1699829101562,79.08999633789062
2026-05-18,705.8800048828125,738.6500244140625,79.58999633789062
2026-05-19,701.530029296875,733.72998046875,79.12999725341797
2026-05-20,713.1500244140625,741.25,80.95999908447266
2026-05-21,714.510009765625,742.719970703125,81.79000091552734
2026-05-22,717.5399780273438,745.6400146484375,82.54000091552734
2026-05-26,730.280029296875,750.5900268554688,82.95999908447266
2026-05-27,729.4500122070312,750.4600219726562,83.95999908447266
2026-05-28,735.5999755859375,754.5999755859375,85.61000061035156
2026-05-29,738.3099975585938,756.47998046875,83.98999786376953
2026-06-01,742.739990234375,758.5399780273438,83.31999969482422
2026-06-02,746.1599731445312,759.5700073242188,83.69999694824219
2026-06-03,744.2100219726562,754.239990234375,83.37000274658203
2026-06-04,740.6099853515625,757.0900268554688,83.52999877929688
2026-06-05,705.0599975585938,737.5499877929688,82.62999725341797
2026-06-08,716.0700073242188,739.219970703125,83.75
2026-06-09,,,
